date,open,high,low,close,volume,marketcap,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
14/5/19,7807.88,8268.71,7696.39,7994.42,32031452227,1.41509E+11,6.70E+12,1.203409635,16381420.78,41.95759725,390428,55638834.23,41.95759725,2337.892216
13/5/19,6971.18,8047.41,6898.28,7814.92,28677672181,1.38317E+11,6.70E+12,1.234789487,14870587.89,43.9216232,338571,52640334.18,43.9216232,2142.85443
12/5/19,7203.51,7503.87,6815.77,6972.37,27773333680,1.2339E+11,6.70E+12,1.240594785,11959207.07,34.66868935,344957,43311667.37,34.66868935,2653.515385
11/5/19,6379.67,7333,6375.7,7204.77,28867562329,1.27488E+11,6.70E+12,1.259484184,10627740.09,32.90698964,322963,41645834.01,32.90698964,2583.704
10/5/19,6175.82,6434.62,6161.52,6378.85,19419875368,1.12863E+11,6.70E+12,1.258699753,12003556.32,33.19852178,361569,49975000.81,33.19852178,2410.46
9/5/19,5982.32,6183.04,5982.32,6174.53,16784645411,1.09239E+11,6.70E+12,1.243073447,11775361.87,29.95657859,393081,50641334.15,29.95657859,2586.059211
8/5/19,5849.48,5989.98,5794.72,5982.46,15320605300,1.05829E+11,6.70E+12,1.267977197,9849659.832,29.8526104,329943,42312167.35,29.8526104,2597.976378
7/5/19,5745.6,5988.18,5741.4,5829.5,18026409033,1.03112E+11,6.70E+12,1.222187444,11104085.16,29.33894133,378476,50308167.48,29.33894133,2506.463576
6/5/19,5791.69,5802.96,5653.69,5746.81,15737171804,1.0164E+11,6.70E+12,1.196308186,9580162.774,28.96654322,330732,42978500.7,28.96654322,2563.813953
5/5/19,5831.07,5833.86,5708.04,5795.71,14808830723,1.02494E+11,6.55E+12,1.187771273,9747033.774,27.38623184,355910,43978000.71,27.38623184,2696.287879
4/5/19,5769.2,5886.89,5645.47,5831.17,17567780766,1.03112E+11,6.35E+12,1.228199987,11161987.59,29.14113596,383032,48003251.06,29.14113596,2519.947368
3/5/19,5505.55,5865.88,5490.2,5768.29,18720780006,1.01986E+11,6.35E+12,1.100861511,12686653.82,28.0277608,452646,58109198.65,28.0277608,2460.032609
2/5/19,5402.42,5522.26,5394.22,5505.28,14644460907,97330112147,6.35E+12,1.126911234,11698976.79,26.61586487,439549,54003657.44,26.61586487,2570.461988
1/5/19,5350.91,5418,5347.65,5402.7,13679528236,95501110091,6.35E+12,1.295070857,9658987.04,27.87699082,346486,44213520.72,27.87699082,2474.9
30/4/19,5247.73,5363.26,5224.19,5350.73,13878964574,94573826827,6.35E+12,1.203267614,11128177.92,30.63866588,363207,51477170.55,30.63866588,2228.263804
29/4/19,5284.86,5311.27,5216.49,5247.35,13735490672,92737510865,6.35E+12,0.977574344,11066867.95,28.87327891,383291,51477170.55,28.87327891,2351.478528
28/4/19,5271.75,5326.23,5255.68,5285.14,12819992056,93391244395,6.35E+12,1.170310445,9332539.15,25.9953515,359008,43266088.13,25.9953515,2620.49635
27/4/19,5279.47,5310.75,5233.64,5268.29,13111274675,93086156556,6.35E+12,1.255490709,10450062.88,27.41294902,381209,47687440.2,27.41294902,2524.562914
26/4/19,5210.3,5383.63,5177.37,5279.35,16812108040,93272287960,6.35E+12,1.219515846,10202233.63,26.56216041,384089,45160953.3,26.56216041,2685.937063
25/4/19,5466.52,5542.24,5181.34,5210.52,15330283408,92046492864,6.35E+12,1.234416043,11850192.58,29.31191722,404279,51477170.55,29.31191722,2480.239264
24/4/19,5571.51,5642.04,5418.26,5464.87,17048033399,96530038144,6.35E+12,1.255767388,8548641.412,27.42120016,311753,36634060.02,27.42120016,2687.525862
