date,close,volume,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
17/6/18,6499.27,3104019968,4.94E+12,0.473838946,13507060.33,85.57476861,159090,40770226.16,84.90200725,958.373494
18/6/18,6734.82,4039200000,4.94E+12,0.490980268,12686407.9,88.59587181,144908,38559792.21,87.54801595,922.9808917
19/6/18,6769.94,4057029888,4.94E+12,0.648707695,13762650.4,70.70777748,196305,40279018.61,70.10850666,1196.981707
20/6/18,6776.55,3888640000,5.02E+12,0.908624084,13329154.5,70.99687913,191805,39122596.14,69.49325878,1237.451613
21/6/18,6729.74,3529129984,5.08E+12,1.078000258,13820511.8,71.3991391,198889,39122596.14,69.48856801,1283.154839
22/6/18,6083.69,5079810048,5.08E+12,0.616743429,14388442.37,74.71825659,198113,42908653.83,72.62745186,1165.370588
23/6/18,6162.48,3431360000,5.08E+12,0.795271689,12793132.95,64.44384662,204144,38112980.76,62.66720036,1351.94702
24/6/18,6173.23,4566909952,5.08E+12,0.534422669,12098140,75.27073765,163295,40384615.37,74.08763281,1020.59375
25/6/18,6249.18,5500810240,5.08E+12,0.484736936,13225424.94,84.71232626,158022,43161057.68,83.6935676,924.1052632
26/6/18,6093.67,3279759872,5.08E+12,0.920947834,12092548.55,61.44671555,200173,39627403.83,60.41048765,1274.987261
27/6/18,6157.13,3296219904,5.08E+12,1.067591651,11395190.5,59.34957083,195404,36850961.53,58.31605545,1338.383562
28/6/18,5903.44,3467800064,5.08E+12,1.088043074,9288788.415,50.28921213,188510,30540865.37,49.27477808,1557.933884
29/6/18,6218.3,3966230016,5.08E+12,0.689429567,12052693.75,65.1275547,187624,39627403.83,64.23855024,1195.057325
30/6/18,6404,4543860224,5.08E+12,0.746513298,11236721.63,57.60989406,197881,38112980.76,56.78524783,1310.470199
1/7/18,6385.82,4788259840,5.08E+12,0.987340128,10494418.5,58.73561376,181065,35588942.3,57.95939856,1284.148936
2/7/18,6614.18,4396930048,5.08E+12,0.705291442,11673361.88,75.3937329,156247,37103365.37,74.71095045,1062.904762
3/7/18,6529.59,4672309760,5.17E+12,0.987550149,11271293.25,57.30956946,199294,37594816.26,56.55610932,1413.432624
